factors,iterations,performance,regularization
125,50,0.04116031907342081,0.07
50,200,0.045075732376003735,0.0004
25,700,0.0488677939931161,0.07
100,750,0.0417630503853189,0.004
150,550,0.04070048199473803,0.04
325,650,0.04128276433405315,0.005
250,300,0.04153340866844806,0.0007
400,650,0.04073955829289552,0.06
475,200,0.04030058726658888,0.08
350,175,0.04110596311634306,0.0002
275,750,0.041707907761879284,0.008
700,25,0.037646634588642584,0.0004
150,400,0.04068741269538506,0.06
450,75,0.040179380238520614,0.0008
400,675,0.04074792992249194,0.09
150,550,0.040636304807505665,0.05
175,375,0.04128471864345265,0.09
250,575,0.041480612672745554,0.004
