agg_strategy,metric,n_neighbors,performance
min,cosine,101,0.04946974539137754
max,cosine,100,0.03525484121607589
mean,cosine,100,0.04321567642904539
max,cosine,120,0.03432556699965171
mean,cosine,120,0.04263142475043035
max,cosine,140,0.03341731436515887
mean,cosine,140,0.04202410369113128
max,cosine,160,0.03270055299558236
mean,cosine,160,0.0415713020430416
max,cosine,180,0.03187082062499342
mean,cosine,180,0.04110149386490509
max,cosine,200,0.031301360727713314
mean,cosine,200,0.0406079824159437
max,cosine,220,0.03081736742500811
